onset	duration	trial_type	event_value	event_sample
6.88	0.0	stimulus30	30	8256
7.8133333333333335	0.0	CueLeftSF	126	9376
9.4125	0.0	Probe6	136	11295
11.745	0.0	stimulus35	35	14094
12.628333333333334	0.0	CueRightSF	128	15154
14.260833333333334	0.0	Probe8	140	17113
16.576666666666668	0.0	stimulus30	30	19892
17.476666666666667	0.0	CueLeftOrient	127	20972
19.125833333333333	0.0	Probe2	132	22951
21.725	0.0	stimulus17	17	26070
22.640833333333333	0.0	CueRightOrient	129	27169
24.2075	0.0	Probe8	140	29049
26.69	0.0	stimulus63	63	32028
27.5725	0.0	CueRightSF	128	33087
29.221666666666668	0.0	Probe5	135	35066
32.07083333333333	0.0	stimulus28	28	38485
33.020833333333336	0.0	CueLeftSF	126	39625
34.60333333333333	0.0	Probe6	136	41524
36.935833333333335	0.0	stimulus19	19	44323
37.8525	0.0	CueLeftSF	126	45423
39.501666666666665	0.0	Probe4	134	47402
43.13333333333333	0.0	stimulus46	46	51760
44.016666666666666	0.0	CueLeftSF	126	52820
45.59916666666667	0.0	Probe6	136	54719
49.14833333333333	0.0	stimulus76	76	58978
50.08083333333333	0.0	CueLeftSF	126	60097
51.64666666666667	0.0	Probe4	134	61976
54.6125	0.0	stimulus48	48	65535
55.5125	0.0	CueLeftSF	126	66615
57.095	0.0	Probe4	134	68514
59.2775	0.0	stimulus57	57	71133
60.21083333333333	0.0	CueRightSF	128	72253
61.86	0.0	Probe5	135	74232
64.2925	0.0	stimulus35	35	77151
65.15833333333333	0.0	CueLeftOrient	127	78190
66.7575	0.0	Probe8	140	80109
69.32416666666667	0.0	stimulus12	12	83189
70.24	0.0	CueLeftSF	126	84288
71.85583333333334	0.0	Probe3	133	86227
74.005	0.0	stimulus3	3	88806
74.87166666666667	0.0	CueRightOrient	129	89846
76.50416666666666	0.0	Probe2	132	91805
78.82	0.0	stimulus6	6	94584
79.73666666666666	0.0	CueRightSF	128	95684
81.36916666666667	0.0	Probe3	133	97643
84.585	0.0	stimulus22	22	101502
85.50083333333333	0.0	CueRightOrient	129	102601
87.1	0.0	Probe1	131	104520
89.56583333333333	0.0	stimulus22	22	107479
90.46583333333334	0.0	CueLeftSF	126	108559
92.065	0.0	Probe2	132	110478
94.1975	0.0	stimulus26	26	113037
95.08083333333333	0.0	CueRightOrient	129	114097
96.71333333333334	0.0	Probe7	138	116056
99.62916666666666	0.0	stimulus18	18	119555
100.54583333333333	0.0	CueRightOrient	129	120655
102.11166666666666	0.0	Probe8	140	122534
104.31083333333333	0.0	stimulus54	54	125173
105.26	0.0	CueRightSF	128	126312
106.87666666666667	0.0	Probe1	131	128252
109.14166666666667	0.0	stimulus27	27	130970
110.05833333333334	0.0	CueRightSF	128	132070
111.7075	0.0	Probe2	132	134049
114.75666666666666	0.0	stimulus42	42	137708
